url, time, page_size, depth, page_status
https://www.queenstownnz.co.nz/things-to-do/sightseeing/scenic-tours/motorcycle-tours/, 01:16:48 09/27/2024, 281520, 1, 200
https://www.queenstownnz.co.nz/things-to-do/sightseeing/scenic-tours/horse-riding/, 01:16:48 09/27/2024, 283795, 1, 200
https://www.anz.co.nz/personal/travel-foreign-exchange/, 01:16:50 09/27/2024, 295436, 1, 200
https://www.healthpoint.co.nz/allied-health-providers/, 01:16:52 09/27/2024, 47560, 1, 200
https://www.queenstownnz.co.nz/things-to-do/sightseeing/scenic-tours/farm-tours/, 01:16:53 09/27/2024, 282473, 1, 200
https://www.queenstownnz.co.nz/things-to-do/sightseeing/scenic-tours/quad-biking-and-buggy-tours/, 01:16:53 09/27/2024, 286666, 1, 200
https://www.prowzer.co.nz/SSHSSlDevelopment.html, 01:16:57 09/27/2024, 18789, 1, 200
https://www.healthpoint.co.nz/maternity/, 01:16:59 09/27/2024, 48963, 1, 200
https://www.queenstownnz.co.nz/things-to-do/sightseeing/scenic-tours/city-tours/, 01:16:59 09/27/2024, 281494, 1, 200
https://www.prowzer.co.nz/SmartPhoneApplications.html, 01:17:01 09/27/2024, 18376, 1, 200
https://www.prowzer.co.nz/ShoppingCart.html, 01:17:03 09/27/2024, 18074, 1, 200
https://www.queenstownnz.co.nz/things-to-do/sightseeing/scenic-tours/off-road-tours/, 01:17:04 09/27/2024, 281423, 1, 200
https://www.prowzer.co.nz/ServerDeployment.html, 01:17:06 09/27/2024, 19246, 1, 200
https://www.prowzer.co.nz/RoboticCoding.html, 01:17:08 09/27/2024, 19101, 1, 200
https://www.anz.co.nz/institutional/contact-us/, 01:17:10 09/27/2024, 256278, 1, 200
https://www.uniline.co.nz/Document/Detail/61/Unicom-NZ-Login, 01:17:16 09/27/2024, 7832, 1, 200
https://www.healthpoint.co.nz/dentistry/, 01:17:18 09/27/2024, 55992, 1, 200
https://www.queenstownnz.co.nz/things-to-do/sightseeing/scenic-flights/hot-air-ballooning/, 01:17:18 09/27/2024, 284895, 1, 200
https://www.prowzer.co.nz/RFIDCardsSystems.html, 01:17:20 09/27/2024, 19031, 1, 200
https://www.prowzer.co.nz/QRCodeTechnology.html, 01:17:22 09/27/2024, 18847, 1, 200
https://www.queenstownnz.co.nz/things-to-do/sightseeing/scenic-flights/helicopter-flights/, 01:17:22 09/27/2024, 283412, 1, 200
https://www.prowzer.co.nz/PointofSaleDevelopment.html, 01:17:24 09/27/2024, 18400, 1, 200
https://www.prowzer.co.nz/PaymentSolutions.html, 01:17:26 09/27/2024, 17527, 1, 200
https://www.healthpoint.co.nz/aged-residential-care-1/, 01:17:28 09/27/2024, 50113, 1, 200
https://www.queenstownnz.co.nz/things-to-do/sightseeing/scenic-flights/airplane-flights/, 01:17:28 09/27/2024, 281254, 1, 200
https://www.prowzer.co.nz/NetworkDevelpment.html, 01:17:30 09/27/2024, 20157, 1, 200
https://www.prowzer.co.nz/MicroProcessorDevelopment.html, 01:17:32 09/27/2024, 18622, 1, 200
https://www.queenstownnz.co.nz/things-to-do/outdoor-activities/walking-and-hiking/day-walks/, 01:17:32 09/27/2024, 283275, 1, 200
https://www.prowzer.co.nz/LinuxSystemsDevelopment.html, 01:17:34 09/27/2024, 24165, 1, 200
https://www.prowzer.co.nz/IntegratedCorporatePrivateSolutions.html, 01:17:36 09/27/2024, 17541, 1, 200
https://www.uniline.co.nz/Document/Detail/58/Unicom-Login-CSS-, 01:17:43 09/27/2024, 7837, 1, 200
https://www.healthpoint.co.nz/community-health-and-social-services/, 01:17:46 09/27/2024, 67676, 1, 200
https://www.queenstownnz.co.nz/things-to-do/outdoor-activities/walking-and-hiking/short-walks/, 01:17:46 09/27/2024, 284452, 1, 200
